scenario,link_id,slot_code,HHMM,TTT_base,TTT_scen,TTT_diff
no02,533967_00285_11497_0,1245,12:45,140.0,139.0,-1.0
no02,533967_00285_11497_0,1300,13:00,188.5,188.5525,0.052500000000009095
no02,533967_00285_11497_0,1315,13:15,112.5,113.0,0.5
no02,533967_00285_11497_0,1330,13:30,141.0,139.5,-1.5
no02,533967_00285_11497_0,1345,13:45,137.0,138.098,1.0980000000000132
no02,533967_00285_11497_0,1400,14:00,178.5,178.0,-0.5
no02,533967_00285_11497_0,1415,14:15,200.4025,202.3115,1.9089999999999918
no02,533967_00285_11497_0,1430,14:30,278.3025,276.1515,-2.1510000000000105
no02,533967_00285_11497_0,1445,14:45,135.199,136.202,1.002999999999986
no02,533967_00285_11497_0,1500,15:00,198.5,198.5475,0.04750000000001364
no02,533967_00285_11497_0,1515,15:15,129.0,128.549,-0.4509999999999934
no02,533967_00285_11497_0,1530,15:30,143.052,145.551,2.4989999999999952
no02,533967_00285_11497_0,1545,15:45,158.0,155.0,-3.0
no02,533967_00285_11497_0,1600,16:00,316.7285,316.6495,-0.07900000000000773
no02,533967_00285_11497_0,1615,16:15,193.706,195.1075,1.4014999999999986
no02,533967_00285_11497_0,1630,16:30,349.1065,349.707,0.6005000000000109
no02,533967_00285_11497_0,1645,16:45,232.9035,231.246,-1.6574999999999989
no02,533967_00285_11497_0,1700,17:00,365.811,365.9845,0.17350000000004684
no02,533967_00285_11497_0,1715,17:15,276.531,276.7815,0.2504999999999882
no02,533967_00285_11497_0,1730,17:30,201.7,200.298,-1.4019999999999868
no02,533967_00285_11497_0,1745,17:45,209.5,209.60100000000003,0.10100000000002751
no02,533967_00285_11497_0,1800,18:00,274.2395,275.896,1.656499999999994
no02,533967_00285_11497_0,1815,18:15,147.5,148.049,0.5490000000000066
no02,533967_00285_11497_0,1830,18:30,176.051,175.102,-0.9489999999999839
no02,533967_00285_11497_0,1845,18:45,201.0,201.0,0.0
no02,533967_00285_11497_1,630,06:30,189.147,189.147,0.0
